Requirement,Specific_Type
The system shall have a MDI form that allows for the viewing of the graph and the data table.,FR
The system shall display Events in a vertical table by time.,FR
The system shall display the Events in a graph by time.,FR
All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,L
The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,L
All actions that modify an existing dispute case must be recorded in the case history.,L
The Disputes System must be accessible by both internal and external users.,FR
The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,FR
The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,FR
The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,FR
The Disputes System shall provide view access capability for authorized users of the application.,FR
The Disputes System shall provide update access capability for authorized users of the application.,FR
The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,FR
The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,FR
The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,FR
The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,FR
The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,FR
The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number the type of retrieval requested (copy original or portfolio) and the date that the merchant response is due.,FR
The Disputes System shall allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,FR
The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number the type of chargeback requested (pending or immediate) and the date that the merchant response is due.,FR
The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,FR
The Disputes System shall accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System.,FR
The Disputes System must provide the ability to view existing dispute cases.,FR
The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code.,FR
A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.,FR
The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,FR
The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,FR
The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system. A detailed history of the actions taken on the case including the date and the user that performed the action must be maintained for auditing purposes.,FR
For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,FR
All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,FR
Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,FR
The product must support Internet Explorer 5.5 and above.,O
The product must support Mozilla Firefox 1.0 and above.,O
The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.,O
The product shall run on the existing hardware for all environments.,O
The product shall adhere to the corporate Architecture guidelines,O
The product shall comply with corporate User Interface Guidelines,LF
The product shall comply with corporate color scheme,LF
The appearance of the product shall appear professional,LF
The software product is expected to run on Windows or Linux platforms.,PO
The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.,US
The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,US
Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.,US
The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training,US
The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,US
The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.,PE
The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds,PE
The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.,PE
The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,PE
The product shall adhere to the corporate online availability schedule. The application is brought down only within 98% of the scheduled outages per the availability schedule.,A
The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,A
The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,SC
The average number of recycled parts records per day shall be 50 000.,SC
The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,SC
For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.,O
The maintenance of the product will fall within the established corporate maintenance windows.,O
The product shall be supported using the corporate support center.,O
Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,O
Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,SE
Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,SE
Only collision estimators shall search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts.,SE
Only valid data shall be entered into the system. No invalid data shall be entered into the system.,SE
One insurance company shall not be able to view another insurance companys claim data.,SE
The product shall free of computer viruses.,SE
The system shall prevent malicious attacks including denial of service.,SE
The product must comply with Sarbanes-Oxley.,L
The product shall comply with the estimatics laws relating to recycled parts usage.,L
The product shall comply with insurance regulations regarding claims processing.,L
The user shall search for the preferred repair facility using vehicle vehicle location and radius in miles,FR
The vehicle data shall include vehicle year make and model,FR
The vehicle location shall include street address city state and zipcode,FR
The system shall resolve the zipcode for the street address city and state if zipcode is unknown.,FR
The search radius shall be between 1 and 30 miles,FR
The system shall locate the preferred repair facility with the highest ratings for the input criteria,FR
The adjuster shall enter the preferred repair facility on the estimate assignment.,FR
The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,FR
The preferred repair facility shall be returned to the user.,FR
The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,FR
The estimator shall search for available recycled parts using damaged vehicle parts information.,FR
The estimator shall search for available recycled parts using a list of preferred parts suppliers.,FR
The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,FR
The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,FR
The system shall retain the available recycled parts and suppliers returned from the search.,FR
The available recycled parts information and their suppliers shall be returned to the user.,FR
The estimator shall apply selected recycled parts to the collision estimate.,FR
The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,FR
The adjuster shall review the collision estimate.,FR
The adjuster shall request a recycled parts audit of the collision estimate.,FR
The recycled parts search results provided to the estimator shall be retrieved by the system.,FR
The system shall generate an audit report based on the available recycled parts and the collision estimate.,FR
The audit report shall include the total number of recycled parts used in the estimate.,FR
The audit report shall include the number of available recycled parts from the original search results.,FR
The audit report shall include the percentage of available recycled parts used in the estimate,FR
The audit report shall include the total score of the audit which sums the indivual line items.,FR
The audit report shall be displayed to the user.,FR
The audit report shall be available to other adjusters at later points in time.,FR
The user shall select to view the preferred repair facility ratings.,FR
The current repair facility ratings shall be displayed to the user.,FR
The system will display a blank set of ratings if there are not ratings yet defined.,FR
The user shall enter new ratings based on the audit report,FR
The ratings shall be from a scale of 1-10,FR
The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,FR
The user shall select to save the preferred repair facility ratings.,FR
The preferred repair facility ratings shall be saved by the system.,FR
The product must work with most database management systems (DBMS) on the market whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,O
The product will function alongside server software on any operating system where the Java runtime can be installed.,O
The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,O
The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.,O
A database management system such as Oracle DB2 MySql or HSQL will need to be integrated with the product.,O
The product shall have a conservative and professional appearance.,LF
The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,US
The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,US
The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,US
The product shall allow the user to select a chosen language from one of the target market countries.,US
The product shall allow for customization of start page and views preferences.,US
An employee will be able to successfully use the product within a few minutes. After informally navigating the product for less than 15 minutes users shall be able to successfully setup meetings and reserve conference rooms.,US
The product shall use a standard navigation menu familiar to most web users.,US
The product shall allow for intuitive searching of available conference rooms.,US
The product shall conform to the Americans with Disabilities Act.,US
Aside from server failure the software product shall achieve 99.99% up time.,A
The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,FT
The product shall be capable of handling up to 1 000 concurrent requests. This number will increase to 2 000 by Release 2. The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,SC
The product shall be able to process 10 000 transactions per hour within two years of its launch. This number will increase to 20 000 by Release 2.,SC
The product shall be expected to operate for at least 5 years for each customer installation.,SC
The product shall be used in office environments.,O
The product must be able to interface with any HTML browser. The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,O
The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,O
The product must be able to interface with various email servers. The product shall be able to send email.,O
The product shall be available for distribution via the Internet as a binary or ZIP file.,O
The product shall be available for distribution as a packaged CD.,O
The product will be available for licensing as a one-server two-five servers or five-or-more servers license.,O
A new user must be able to be added to the system within 10 minutes. 90% of new users are able to log into the system within 10 minutes.,US
The product must be designed using Design Patterns and coding best practices. 90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,MN
Maintenance releases will be offered to customers once a year. The releases shall take no longer than 5 minutes for 80% of the customer base to install.,MN
The product is expected to integrate with multiple database management systems. The product will operate with Oracle SQL Server DB2 MySQL HSQL and MS Access.,O
The product shall be able to be installed in any operating environment within 2 days.,O
The product shall ensure that only company employees or external users with company-approved user IDs may have product access. 100% of all logons shall be by either company employees or external users with company-approved user IDs.,SE
Only managers are able to perform search queries for reservations by user. 100% of all search queries for reservations by user shall be from logons of only management logons.,SE
The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data. The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,FT
The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.,SE
The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,SC
The product must be developed with the J2SE/J2EE programming language libraries,O
The product shall record meeting entries.,FR
The product will notify employees of meeting invitations.,FR
The product shall have the ability to send meeting reminders to employees.,FR
The product shall assign the organizers contact information to each meeting they create.,FR
The product will record meeting acknowledgements.,FR
The product shall store new conference rooms.,FR
The product shall update existing conference rooms.,FR
The product will be able to delete conference rooms.,FR
The product shall be able to store new room equipment.,FR
The product will update existing room equipment.,FR
The product shall be able to delete room equipment.,FR
The product shall allow an organizer to invite other employees to meetings.,FR
Each time a conference room is reserved the conference room schedule shall be updated to reflect the time and date of the reservation.,FR
The product shall record the transportation status of equipment reserved.,FR
The product shall display a map of the company building showing conference room locations.,FR
The product shall record updated meeting agendas.,FR
The product shall send a meeting confirmation to the meeting organizer.,FR
The product shall display room equipment according to search parameters.,FR
The product shall display conference rooms according to search parameters.,FR
The product shall record different meeting types.,FR
The product shall record all the equipment that has been reserved.,FR
The product shall notify building personnel of equipment transport requests.,FR
The product will allow priviledged users to view meeting schedules in multiple reporting views.,FR
The product shall be able to send meeting notifications via different kinds of end-user specified methods.,FR
The product shall have a customizable Look and Feel.,FR
The product shall have an intuitive user interface.,FR
The product will display an available status for unreserved conference rooms.,FR
Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,PE
The System shall allow for a minimum of 6 users to work at the same time.,PE
The System shall utilize currently owned computer equipment.,O
The System shall be able to automatically backup business data and restore them on demand.,O
The System shall maintain consistent security. Any changes in user passwords and/or permissions should take affect in all parts of the System.,SE
The System shall granularly control access rights to all major subsystems. It should be possible to assign access rights to all subsystems independently.,SE
The System shall meet all applicable accounting standards. The final version of the System must successfully pass independent audit performed by a certified auditor.,L
The System shall not require additional third party licenses resulting in royalty fees.,O
The System shall allow generation of Inventory Quantity Adjustment documents on demand.,FR
The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,FR
The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,FR
The System shall allow entering storing and modifying product formulas.,FR
Product formulas shall allow use of semi-products which have own formulas.,FR
Product formula ingredients shall allow defining substitutionary ingredients.,FR
Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,FR
Formula substitutionary ingredients shall be kept in persisted order,FR
Product shall allow entering storing and modifying product menus used by POS terminals.,FR
PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,FR
PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,FR
PME Subsystem shall allow for a product to exist in more than one submenu,FR
The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.,FR
The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,FR
The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,FR
Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,PE
Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.,PE
System shall let existing customers log into the website with their email address and password in under 5 seconds.,PE
System shall let customers cancel their account process shall take no longer than 2 minutes. Database will mark the account as inactive and user will not be able to log into the website.,PE
System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,PE
System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.,PE
System shall let the administrator add/remove categories on the website in under 5 minutes.,PE
System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,PE
System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,PE
The website shall be attractive to all audiences. The website shall appear to be fun and the colors should be bright and vibrant.,LF
The website should have an African feel but should not alienate non-Africans. The website should use animation on pages which are describing the services to grab the users attention and encourage them to sign up.,LF
The website design should be modern clean and concise.,LF
The product should be able to be used by 90% of novice users on the Internet.,US
Users should only have to navigate through a maximum of 4 pages to create an account with the website.,US
Users should be able to access their streaming movies in under 2 clicks after logging into the website.,US
An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,US
An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,US
The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,US
The product shall use symbols and words that are naturally understandable by users familiar with websites,US
The website will use standard Internet conventions when interacting with the user.,US
Any interface between a user and the automated system shall have a maximum response time of 5 seconds unless noted by an exception below.,PE
All credit card information will be secured on the server and only accessible by authorized Izogn administrators. Information will be encrypted in the database.,SE
The website shall be available for use 24 hours per day 365 days per year.,A
The website shall achieve 99.5% up time.,A
All movies shall be streamed on demand at any time of the day.,A
The website shall continue to operate if the streaming server goes down.,FT
The website shall continue to operate if the payment gateway goes down.,FT
The streaming server will support 50 simultaneous streaming connections.,SC
The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.,SC
The server will support a maximum of 1 000 simultaneous users.,SC
The website shall be capable of supporting 100 000 customers.,SC
The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,MN
All aspects of the website shall be accessed by a web browser over the Internet.,O
The same hardware supporting the current website will be used to support the new system.,O
Website must interface with the CyberSource API to process credit card transactions.,O
Website must be fully operational with MSN TV2.,O
Movies shall be encoded and streamed via Windows Media Player 9.0.,O
Movies shall be encoded for 56k and 256k streams.,O
Promotional updates to the website should take a day to update.,MN
Izogn Administrator must be able to update the category listings on the website within 2 minutes.,PE
Izogn Administrator must be able to add new products to the website within 2 minutes.,PE
The system will provide a 24 hour 800 toll free number for support to its customers.,A
The website will provide a help section with answers and solutions to common problems.,US
Velkat staff will be available for phone support between 7am-7pm M-F to provide technical support to the Izogn administrators.,A
The product shall be able to be installed in the specified environment within 1 working day.,O
A customer can only stream a movie if they purchased it and are within the 2 day viewing period.,SE
Only authorized personnel can access customer records in the database.,SE
Only administrators can activate a pre-paid card.,SE
Only authorized personnel can access sales information.,SE
The website shall prevent its data from being corrupted when incorrect data is entered in.,SE
The website shall protect itself from intentional abuse and notify the administrator at all occurrences.,SE
Data integrity scripts will be run on a weekly basis to verify the integrity of the database.,SE
The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website.,SE
The system shall notify customers of changes to its information policy.,SE
All customer information will be stored on a secure database accessible only to authorized personnel.,SE
All credit card information will be encrypted in the database.,SE
The streaming server will have anti-virus software to prevent infection of malicious viruses.,SE
The website should cater to all tribes in Nigeria.,LF
The website shall not be offensive to religious or ethnic groups.,LF
The website should appeal to all Africans not only Nigerians.,LF
The website should use Flash to provide animation on the home page.,O
IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.,L
The website will comply with W3C standards.,L
The PHP code will comply with PEAR standards.,L
The website will allow customers to search for movies by title actor or director.,FR
viewing a movie details the website will display the movies description actor and director entered in by the administrator.,FR
Website shall request and authorize credit card payment before allowing a user to stream a movie.,FR
shall be able to stream purchased movie via Windows Media Player for up to 2 days aftere purchase date.,FR
Website shall allow customers to browse movies by categories entered in by izogn administrator.,FR
Website shall allow customers to view reviews of selected movies by other customers.,FR
Website shall allow customers to add their own movie review for a selected movie.,FR
Website shall allow the Izogn administrator to approve a review posted by a customer.,FR
System will allow customers to pay for a streaming movie with a pre-paid card.,FR
Website shall allow customers to purchase pre-paid cards of $5 $10 or $20 value either by credit card or mail-in payment option.,FR
System shall automatically update the main page of the website every Friday and show the 4 latest movies that have been added to the website.,FR
Pre-paid cards shall be distributed via email or via a printed paper card.,FR
Movies can only be streamed if the customer has purchased a movie and is within the 2-day time period to stream the movie.,FR
Website must be able to support free trial periods with various parameters set by the Izogn Manager.,FR
All streaming movie sales will be logged in the database and accessible by the administrator.,FR
All registered customer information shall be stored and maintained in the database even after the customer cancels their account.,FR
Daily usage statistics should be logged and accessible by the administrator.,FR
The owner shall have free access to all of the streaming movies.,FR
Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.,PE
No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.,PE
For leads that process longer than 25 seconds the system will record the event and duration,PE
The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,PE
The lead washing process will operate within the established physical web service structure.,O
The washing process must use a non binding neutral data format such as xml when receiving and processing lead data.,O
Defect reports will be available to technical units on a 24x7 basis.,A
Washing parameters will be updated during scheduled maintenance hours.,MN
The vendor will verify the invalid lead.,FR
Vendor will submit a credit validation record to be applied to the enterprise billing system.,FR
If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.,FR
The leads washing functionality will validate all leads received by the web service for valid data,FR
The leads washing functionality will insert all leads captured by the web service.,FR
If the leads score falls within the high average score then it will be process by the ARA functionality.,FR
If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.,FR
If the leads score falls within the low average then it will be returned to the supplying vendor,FR
The leads washing functionality will compile both contact and academic scoring information for a total score.,FR
The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.,FR
The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,FR
The leads washing functionality will have an interface in which lead data parameters can be maintained.,FR
The leads washing functionality will verify the users authentication and rights to make parameter updates.,FR
The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,FR
Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.,FR
The leads washing functionality shall receive a period list of available reps from the enterprise system.,FR
The product shall simulate the look of ships at sea.,LF
The product shall display the grids within a circle as a view from a periscope.,LF
The product shall display each type of ship in a grid using an image of the specific type of ship.,LF
When the offensive player takes a shot the product shall simulate the sound of a ship at sea.,LF
When a shot is marked as a miss the product shall simulate the sound of a shot missing its target.,LF
