Requirement,Specific_Type
The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,FR
The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number the type of retrieval requested (copy original or portfolio) and the date that the merchant response is due.,FR
The Disputes System shall allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,FR
The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number the type of chargeback requested (pending or immediate) and the date that the merchant response is due.,FR
The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,FR
The Disputes System shall accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System.,FR
The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code.,FR
A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.,FR
The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,FR
The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,FR
The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system. A detailed history of the actions taken on the case including the date and the user that performed the action must be maintained for auditing purposes.,FR
For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,FR
All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,FR
The product must support Internet Explorer 5.5 and above.,O
The product must support Mozilla Firefox 1.0 and above.,O
The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.,O
The product shall comply with corporate User Interface Guidelines,LF
The product shall comply with corporate color scheme,LF
The software product is expected to run on Windows or Linux platforms.,PO
The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.,US
The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training,US
The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,US
The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.,PE
The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds,PE
The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.,PE
The product shall adhere to the corporate online availability schedule. The application is brought down only within 98% of the scheduled outages per the availability schedule.,A
The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,SC
The average number of recycled parts records per day shall be 50 000.,SC
The maintenance of the product will fall within the established corporate maintenance windows.,O
The product shall be supported using the corporate support center.,O
Only collision estimators shall search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts.,SE
The product shall free of computer viruses.,SE
The system shall prevent malicious attacks including denial of service.,SE
The user shall search for the preferred repair facility using vehicle vehicle location and radius in miles,FR
The system shall resolve the zipcode for the street address city and state if zipcode is unknown.,FR
The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,FR
The available recycled parts information and their suppliers shall be returned to the user.,FR
The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,FR
The audit report shall include the total number of recycled parts used in the estimate.,FR
The audit report shall be available to other adjusters at later points in time.,FR
The current repair facility ratings shall be displayed to the user.,FR
The user shall enter new ratings based on the audit report,FR
The product must work with most database management systems (DBMS) on the market whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,O
The product will function alongside server software on any operating system where the Java runtime can be installed.,O
The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,O
The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.,O
A database management system such as Oracle DB2 MySql or HSQL will need to be integrated with the product.,O
The product shall have a conservative and professional appearance.,LF
The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,US
An employee will be able to successfully use the product within a few minutes. After informally navigating the product for less than 15 minutes users shall be able to successfully setup meetings and reserve conference rooms.,US
The product shall conform to the Americans with Disabilities Act.,US
Aside from server failure the software product shall achieve 99.99% up time.,A
The product shall be capable of handling up to 1 000 concurrent requests. This number will increase to 2 000 by Release 2. The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,SC
The product shall be able to process 10 000 transactions per hour within two years of its launch. This number will increase to 20 000 by Release 2.,SC
The product must be able to interface with any HTML browser. The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,O
The product shall be available for distribution as a packaged CD.,O
The product will be available for licensing as a one-server two-five servers or five-or-more servers license.,O
A new user must be able to be added to the system within 10 minutes. 90% of new users are able to log into the system within 10 minutes.,US
The product must be designed using Design Patterns and coding best practices. 90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,MN
Maintenance releases will be offered to customers once a year. The releases shall take no longer than 5 minutes for 80% of the customer base to install.,MN
The product is expected to integrate with multiple database management systems. The product will operate with Oracle SQL Server DB2 MySQL HSQL and MS Access.,O
The product shall ensure that only company employees or external users with company-approved user IDs may have product access. 100% of all logons shall be by either company employees or external users with company-approved user IDs.,SE
Only managers are able to perform search queries for reservations by user. 100% of all search queries for reservations by user shall be from logons of only management logons.,SE
The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data. The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,FT
The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.,SE
The product shall have the ability to send meeting reminders to employees.,FR
The product shall store new conference rooms.,FR
The product shall update existing conference rooms.,FR
The product will be able to delete conference rooms.,FR
Each time a conference room is reserved the conference room schedule shall be updated to reflect the time and date of the reservation.,FR
The product shall send a meeting confirmation to the meeting organizer.,FR
The product shall display room equipment according to search parameters.,FR
The product shall notify building personnel of equipment transport requests.,FR
The product will allow priviledged users to view meeting schedules in multiple reporting views.,FR
The product shall be able to send meeting notifications via different kinds of end-user specified methods.,FR
The product shall have a customizable Look and Feel.,FR
The product shall have an intuitive user interface.,FR
The System shall allow for a minimum of 6 users to work at the same time.,PE
The System shall granularly control access rights to all major subsystems. It should be possible to assign access rights to all subsystems independently.,SE
The System shall meet all applicable accounting standards. The final version of the System must successfully pass independent audit performed by a certified auditor.,L
The System shall allow entering storing and modifying product formulas.,FR
Product formulas shall allow use of semi-products which have own formulas.,FR
Product formula ingredients shall allow defining substitutionary ingredients.,FR
Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,FR
Product shall allow entering storing and modifying product menus used by POS terminals.,FR
PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,FR
The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,FR
Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.,PE
System shall let customers cancel their account process shall take no longer than 2 minutes. Database will mark the account as inactive and user will not be able to log into the website.,PE
System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.,PE
System shall let the administrator add/remove categories on the website in under 5 minutes.,PE
The website shall be attractive to all audiences. The website shall appear to be fun and the colors should be bright and vibrant.,LF
The website should have an African feel but should not alienate non-Africans. The website should use animation on pages which are describing the services to grab the users attention and encourage them to sign up.,LF
The website design should be modern clean and concise.,LF
Users should only have to navigate through a maximum of 4 pages to create an account with the website.,US
Users should be able to access their streaming movies in under 2 clicks after logging into the website.,US
The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,US
Any interface between a user and the automated system shall have a maximum response time of 5 seconds unless noted by an exception below.,PE
"When purchasing a streaming movie or pre-paid card via credit card, the processing time should have a maximum response time of 15 seconds.",PE
All credit card information will be secured on the server and only accessible by authorized Izogn administrators. Information will be encrypted in the database.,SE
The website shall be available for use 24 hours per day 365 days per year.,A
The website shall achieve 99.5% up time.,A
All movies shall be streamed on demand at any time of the day.,A
The website shall continue to operate if the streaming server goes down.,FT
The website shall continue to operate if the payment gateway goes down.,FT
The streaming server will support 50 simultaneous streaming connections.,SC
The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,MN
The same hardware supporting the current website will be used to support the new system.,O
Movies shall be encoded for 56k and 256k streams.,O
The website will provide a help section with answers and solutions to common problems.,US
Only registered customers can purchase streaming movies.,SE
A customer can only stream a movie if they purchased it and are within the 2 day viewing period.,SE
The website shall protect itself from intentional abuse and notify the administrator at all occurrences.,SE
The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website.,SE
All customer information will be stored on a secure database accessible only to authorized personnel.,SE
All credit card information will be encrypted in the database.,SE
The website shall not be offensive to religious or ethnic groups.,LF
The website should appeal to all Africans not only Nigerians.,LF
The website should use Flash to provide animation on the home page.,O
The website will allow customers to search for movies by title actor or director.,FR
viewing a movie details the website will display the movies description actor and director entered in by the administrator.,FR
Website shall request and authorize credit card payment before allowing a user to stream a movie.,FR
shall be able to stream purchased movie via Windows Media Player for up to 2 days aftere purchase date.,FR
Website shall allow customers to browse movies by categories entered in by izogn administrator.,FR
Website shall allow customers to view reviews of selected movies by other customers.,FR
System will allow customers to pay for a streaming movie with a pre-paid card.,FR
Website shall allow customers to purchase pre-paid cards of $5 $10 or $20 value either by credit card or mail-in payment option.,FR
System shall automatically update the main page of the website every Friday and show the 4 latest movies that have been added to the website.,FR
Movies can only be streamed if the customer has purchased a movie and is within the 2-day time period to stream the movie.,FR
All streaming movie sales will be logged in the database and accessible by the administrator.,FR
All registered customer information shall be stored and maintained in the database even after the customer cancels their account.,FR
Daily usage statistics should be logged and accessible by the administrator.,FR
The owner shall have free access to all of the streaming movies.,FR
The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,PE
The vendor will verify the invalid lead.,FR
Vendor will submit a credit validation record to be applied to the enterprise billing system.,FR
The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,FR
Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.,FR
The product shall display the grids within a circle as a view from a periscope.,LF
When the offensive player takes a shot the product shall simulate the sound of a ship at sea.,LF
When a shot is marked as a miss the product shall simulate the sound of a shot missing its target.,LF
The product shall be available 24 hours per day seven days per week.,A
The product shall able to handle a large number of games simultaneously.,PE
The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,PE
The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,PE
The product shall be intuitive and self-explanatory. Nine out ten users shall be able to successfully complete a game with no training.,US
The product shall be available to players who understand English Spanish and French. The product shall allow the user to select the language upon accessing the product.,US
The product shall provide players no access to information that might reveal the identity of another player,SE
The product shall make inactive players unavailable for selection from the list of players.,FR
Once a game is initiated the product shall display a defensive grid to each player,FR
Once a game is initiated the product shall display an offensive grid to each player.,FR
Once a game is initiated the product shall allow each player to position their 5 ships on their respective defensive grids.,FR
When both players have positioned their 5 ships on their defensive grids the product shall define the status of each player for the first turn.,FR
For each turn the product shall identify one player as offensive status and one player as defensive status.,FR
The product shall maintain the status of each player for a turn either offensive or defensive.,FR
For each turn the product shall allow the offensive player to define a shot.,FR
For each shot the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,FR
For each shot the product shall notify the players whether the shot was a hit or miss.,FR
For each shot the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,FR
For each shot the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,FR
When the hit results in sinking a ship the product shall notify the players that the ship was sunk.,FR
When the hit results in sinking a ship the product shall mark the ship as sunk on the defensive grid of the defensive player.,FR
When the hit results in sinking a ship the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,FR
When the hit results in sinking a ship the product shall mark the ship as sunk on the offensive grid of the offensive player.,FR
If the shot was marked as a hit the product shall allow the offensive player to define a shot.,FR
If the shot was marked as a miss the product shall change the status of the offensive player to defensive,FR
If the shot was marked as a miss the product shall change the status of the defensive player to offensive,FR
The product shall continue to assign turns until the game is ended.,FR
When a game is ended the product shall notify the players that the game is ended.,FR
When a game is ended the product shall allow each player to identify himself or herself as an available player in the list of players.,FR
When a game is ended the product shall allow each player to remove himself or herself from the list of players.,FR
The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.,US
The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,PE
On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time.,PE
The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.,MN
The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.,SE
The interface shall have a simple look. In the interface and usability survey 90% of beta testers must report that the interface is adequately simple.,LF
The interface shall be appealing to callers and supervisors. In the interface and usability survey 80% of beta testers must report that the interface is appealing.,LF
The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.,LF
The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),US
The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.,PE
The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds,PE
The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.,SC
The product shall continue to operate during upgrade change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,MN
The product shall have security.The product shall provide authentication and authorization.,SE
The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.,SE
The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.,SC
The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats). Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.,O
The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.,MN
All changes updates and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides. Every change must be reflected in WCS system documentation,MN
The Commissioner will be the only authorized user per league to adjust league settings.,SE
Each page shall contain a navigation menu which shows the index into which the current page is contained.,LF
Each page shall contain a similar format with action items in one location and navigation buttons in a different location.,LF
The message board shall contain the 5 most recently posted messages on the league page. The messages will contain up to the first 150 characters of the message.,LF
The application shall ask the user to confirm dropping a player or trading a player before performing the action.,US
The application shall run on a web application server.,O
The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,O
The system shall have a professional appearance,LF
The system shall be intuitive and self explanatory.,US
The search results shall be returned no later 30 seconds after the user has entered the search criteria,PE
The product shall synchronize with the office system every hour.,PE
The product shall be available for use 24 hours per day 365 days per year,A
Out of 1000 accesses to the system the system is available 999 times.,A
The product shall operate in offline mode whenever internet connection is unavailable.,FT
The product shall allow the user to view previously downloaded search results CMA reports and appointments.,FT
The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,US
The user shall be able to get driving directions to a selected property,FR
The system shall cater to 10 simultaneous users from 9am to 5pm.,SC
The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,O
The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,O
A secondary database will be used to store historical statistics and data.,O
The realtor shall be able to retrieve a map showing property locations for a specified area,FR
The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,US
The number of mistakes noted by the students shall be decreased by 50% in the first year.,US
The system shall be available for use between the hours of 8am and 6pm.,A
The system shall interface with the faculty central server.,O
The system shall interface with the student master server.,O
Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,FR
Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,FR
Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,FR
For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,FR
Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,FR
Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season.,MN
The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,FR
The system shall filter data by,FR
The system shall allow a user to define the time segments,FR
The RFS system should be available 24/7 especially during the budgeting period. The RFS system shall be available 90% of the time all year and 98% during the budgeting period. 2% of the time the system will become available within 1 hour of the time that the situation is reported.,A
The RFS system should be able to easily interface with the BDW environment in order to load the data. 7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process every year. The data will be as of October month-end. Test files (7) shall be loaded up to 5 times throughout the year from the BDW.,O
Changes to revenue and expense formulae must be applied to the RFS system every year prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt after which 2 weeks will be allotted to testing of the budget calculations to be conducted jointly by the project development team and PCG Finance.,MN
New branches/complexes/districts/regions and revenue/expense accounts added to the BDW must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end will be loaded into the RFS system prior to the budget start process.,MN
Only authorized user shall access the RFS system. ONLY users that exist in the UAS system with the RFS system assigned to their role(s) shall access the RFS system and use it.,SE
The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group prior to implementation. The remaining 5% will be corrected and approved within one month of product release.,LF
The users should be able to easily use the system to successfully complete their budgets within the stipulated time for completion. With a week of training prior to product implementation 98% of the users shall complete their budgets within the stipulated time.,US
The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time the response time should not be more than 10 seconds.not be more than 10 seconds.,PE
The system will notify affected parties for routine communication purposes including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,FR
The system will notify affected parties when changes occur affecting clinicals including but not limited to clinical section capacity changes and clinical section cancellations.,FR
The system will notify affected parties when changes occur affecting classes including but not limited to class cancellations class section detail changes and changes to class offerings for a given quarter.,FR
The feature of the application shall provide the optimized route for the given addresses,FR
This feature provides the user to select an optimized route for the addresses given and fixing any path between the desired locations.,FR
"Fast internet connection is not mandatory, but it would increase the performance of the application",PE
"As Google Maps API is being used for this application, it is mandatory that we abide by the terms of use specified by Google",SE
After installing the Application from iTunes or the App store the user will be asked to login.,FR
"Upon successful login, the user can select from the following catalogue options: Spring 2013 ,Winter 2013",FR
"Based on the selection the product categories will be listed: Outerwear,Soft Shell,Fleece,Knits,Wovens,Active Wear, Safety,Accessories,Team Wear, e.c.o. Collection",FR
Once a category is selected the product thumbnail images will appear for selection.,FR
A user can then select the product and view the details.,FR
The detail page will contain all the same features and information as the website.,FR
From the here the user can either proceed to call a rep for an order or proceed to the online checkout process.,FR
"Upon successful login, the user can select from the following catalogue options or use the search function indicated by the search icon in the top right hand corner of the application.",FR
Once the icon is selected two open text field will be available to the user to search for the product name - by product ID/SKU or by keyword.,FR
Following a successful query the search feature will query the application database to display the search results. Following an unsuccessful query the search feature will display an error message that no matches were found,FR
A user can select the desired product from the results and proceed to the product details.,FR
"Upon successful login, the user can select from the following catalogue options, search or use the sub navigation to find the following items: Catalogue ,Videos,Contact Us",FR
"Should a user select videos, the 360 video list will display. Upon selecting a video it will play on their device.",FR
All users shall be able to zoom into images using the standard gestures on mobile devices.,FR
All Users will be able to view the next product by swiping left to right .,FR
All users should be able to go back to the product category page via the back button in the top corner.,FR
All users should be able to search by keyword or product ID.,FR
"All users should be able to navigate using the sub navigation icons to access the Catalogue PDF, 360 videos, and to contact a rep representative",FR
The application itself will only have minimal logic and so there should be little to no issues with the computation required by the phone itself.,FR
"The only hazard is a user using the device when they should not be, such as while driving.",FR
The application must be able to link up with the INTERNAL system in order for users to properly log in and be identified.,FR
This information must be kept secure.,SE
