Requirement,Specific_Type
Users will be able to see their saved items in under 5 seconds.,PE
"Within 5 minutes, the system will ensure that data is synchronized with cloud storage services.",PE
The product will use symbols and words that are understandable by the community.,US
"For the next 10 years, the system will be able to process 100% of nursing students.",SC
The application has to comply with the EAR.,L
The system needs to be compatible with Kubernetes.,PO
The system will work in major browsers.,PO
An activity feed is included in the interface.,LF
The application has to be accessible to users.,A
The application should be connected to the device.,A
The interface shall display a warning message when a user attempts to access a restricted area.,LF
It must allow a user to logout.,FR
A cloud-based backup system shall be implemented to ensure data integrity and availability.,SC
Each Trusted Framework present on the card shall Ensure that incoming messages are properly routed unaltered to their intended destinations,SE
All transactions will be confirmed with the customer's web browser.,US
The Fair Trade Act protects consumers from unfair trade practices.,L
The system will have separate environments for testing and production.,FT
The system needs to provide concise error codes.,MN
toast messages will be displayed as notifications.,LF
"During business hours, the product will maintain a 99.9% uptime.",A
All employee access to sensitive data shall be restricted to authorized personnel only.,L
"An EHR-S should support Chains of Trust in respect of authentication, authorization, and privilege management, either intrinsically or by interfacing with relevant external services.",SE
"When the user receives a message, the product will show a gentle animation.",LF
instant access to historical data archives is provided by the system.,PE
NPAC SMS shall restart the login process when the threshold in R7-33.1 has been exceeded and a specified interval of time has passed.,SE
The Consumer Product Safety Act requires that the system comply with standards.,L
The product will ensure that backups are completed within 30 minutes.,PE
High contrast mode will be supported by the application.,LF
"Even in failure scenarios, the application must ensure transactional integrity.",FT
All authorized users once authenticated must be able to logon to the Disputes System,SE
The application will be available 24 hours a day.,A
Users will be able to choose from a number of data recovery methods.,FT
The system needs to ensure compliance with the Sarbanes-Oxley Act.,L
"The application maintainer should also be able to change the (lists of) information sources of the sub-applications: agenda, news, Facebook and Twitter",FR
Users will be able to remove their accounts in under 5 seconds.,PE
Application shall be able to authenticate users using at least 2 different authentication protocols.,O
Real-time updates on user activity shall be displayed within 2 seconds.,PE
Tracking project milestones and deadlines can be done with the product.,O
Product shall be able to handle up to 1000 concurrent voice calls.,SC
"When a user upgrades their account, the product shall display a confirmation screen with a success message.",LF
Incremental updates will be allowed in the application.,MN
The system will be compatible with many solutions.,PO
The software has to be compatible with legacy systems.,MN
"An end-user may use this portable application on any OS, including Linux, Windows, and macOS.",PO
A centralized notification center will make it easy for 98% of users to stay informed.,US
Internally to the CPN a CNG receiving private or other critical information (i.e. from a CND) should verify that the data was protected from unauthorised disclosure.,SE
The Digital Millennium Copyright Act requires software to comply.,L
The Issuer Security Domain shall implement one Secure Channel Protocol.,SE
The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,FR
Design patterns and coding best practices must be used to develop and maintain all software components.,MN
"In case of server failures, the system will ensure rapid recovery and continuity.",SC
The product will be designed to respond to increased demand without requiring manual intervention.,SC
Server failure shall not occur more than once in a 30-day period.,A
NPAC SMS shall include database integrity checking utilities for the NPAC SMS database.,SE
"A user identification is a unique, auditable representation of the user's identity within the system. The NPAC SMS requires all system users, both individuals and remote machines, to be uniquely identified to support individual accountability over the NPAC Administrative and NPAC SOA Low-tech Interfaces.",SE
The DUAP Presentation Services shall require users to confirm their identity.,SE
The product will allow for long-term storage of data.,O
"Properly designed roles will ensure that users rarely, if ever, have switch roles by initiating a new session.",SE
The system needs to be able to download 1 million copies at once.,SC
Application should Build URL to each site's page,FR
Rationale: This requirement is intended to protect against a variety of denial of service attacks.,SE
The application has to support dynamic scaling.,SC
The system will run on Windows.,PO
All user data must be saved before critical operations.,FT
All user interactions with the Disputes application must be logged and stored in accordance with the Electronic Communications Privacy Act (ECPA).,L
"If a critical failure occurs, the product will give a mechanism to restore service.",FT
80% of viewers must see key Events from a distance of 60 feet if the content is to be distinguishable.,US
The system shall flag tablets that fail to send timely keep-alive messages as non-operational and disassociate the assigned waiter from the tablet.,FT
"When a shot is scored by an opponent, the product shall simulate the sound of a buzzer going off.",LF
Each POS transaction completed at the POS device is given a S5 MAC by the PSAM which is used by the merchant acquirer to validate that the transactions were made at a POS device with a valid PSAM. The batch total count and amount must be protected by the S4 MAC which must also be validated by the merchant acquirer,SE
If there is no activity for 10 minutes the user shall be logged off of the system.,SE
"Movie streaming shall be available at any time, with a maximum delay of 2 seconds.",A
The product will run on existing hardware.,O
To ensure card security and integrity the GlobalPlatform is designed to support a range of secure mechanisms for: Data integrity Resource availability Confidentiality Authentication.,SE
The interface will make it easy for users to understand their functions at a glance.,LF
Right-clicking interactive elements will display contextual menus.,LF
The product will support versioning.,O
Product shall comply with the National Institute of Standards and Technology (NIST) standards for secure data storage.,L
Monitoring of system resources is allowed by the application.,MN
Access rights and conditions of use will be machine readable and actionable.,SE
Server failure shall not cause more than 1% of the available online time.,A
The application has to render 3D graphics in under 16 milliseconds.,PE
"After every operation, the application must verify data integrity.",FT
A wide range of hardware configurations is supported by the product.,MN
The application will allow users to change the size of sections and panels.,LF
"85% of users are able to correct issues on their own, and the system must display error messages in plain language.",US
Administrator shall be able to generate a report on usage within 5 seconds.,PE
Multiple users can work on the same document at the same time with the application.,O
"Upon detecting faults, the system will automatically start to work.",FT
An activity feed will be included in the interface.,LF
The product shall have a conservative and professional appearance.,LF
The system should be able to support large user bases.,PO
"For essential operations, the application will maintain a 99.97 uptime.",A
"85% of users can resolve issues on their own, if the application ensures that all error messages are actionable.",US
System shall continue to provide essential services even if one or more dependent databases fail.,FT
Ensure seamless integration with cloud-based services to minimize downtime and maximize scalability.,O
The sound of a ship at sea will be mimicked by the product when the offensive player takes a shot.,LF
Usage of the information link DESC: The information link should be prominent and it should be evident that it is a usable link. Selecting the information link should only take one click.,FR
The application has to be able to run on both wired and wireless networks.,PO
Product shall be capable of handling peak usage during summer and winter months.,SC
The system will follow the standards set byOSHA.,L
A web-based interface should be compatible with assistive technologies such as screen readers and Braille displays.,PO
"The application will use a clean, flat design aesthetic.",LF
"Server shall be available 99.5% of the time, except during scheduled maintenance.",A
An application should be deployable on any mobile network.,PO
The media from which the product is run will affect the initial load time.,PE
Izogn Administrator needs to be able to update the category listings within 2 minutes.,PE
The product will log all failed transactions for further analysis.,FT
Product shall be able to recover from a hardware failure without significant data loss.,FT
The application has to be compatible with different storage systems.,PO
The e-commerce platform must comply with the Sarbanes-Oxley Act of 2002 regarding financial reporting and internal controls.,L
Embedded systems with limited resources should be used for the system to operate.,PO
The grids will be displayed in a circle as a view from a periscope.,LF
"Even if you're first time users, be intuitive.",LF
Users can report technical issues in under 5 seconds.,PE
The product shall interface with the corporate CRM system to retrieve customer data and update customer records.,O
Each copy of the ELSS installed must be provided with a unique (internal?) number that is automatically entered into each transmission to identify the instance of the ELSS from which the report has been transmitted.,SE
The product will provide regular performance audits.,MN
A minimalist mode will be included in the product to make it easier for focused work.,LF
Product shall not allow malicious data to propagate through the system.,FT
Fault avoidance shall be implemented based on industry standards and best practices.,FT
Refresh display after 30 minutes of inactivity.,PE
Must be able to run on a virtual machine without any performance degradation,O
Regular backups of all data must be performed on a daily basis.,MN
Regular maintenance updates must be provided by the product.,MN
Product shall interface with the existing customer relationship management (CRM) system for data synchronization.,O
The system could provide the ability to use digital signatures for attestation.,SE
Data backups can be initiated in under 15 seconds.,PE
The graphs must be clear.,US
The product shall have a feature that allows users to customize the sound effects.,LF
Product shall be able to handle a minimum of 50 000 concurrent requests within 3 years of its launch.,SC
The website shall not be offensive to religious or ethnic groups.,LF
The product will be available for 99% of the time.,A
Interface with the existing Customer Relationship Management (CRM) system to retrieve and update customer information.,O
Product shall be able to handle up to 3000 concurrent streaming connections.,SC
"80% of users report improved efficiency due to personalization, and the system will allow users to modify their interface layout.",US
Consistency of replicated data is a must for the product.,FT
"85% of users are able to fix problems on their own, and the system will ensure that error messages are displayed prominently.",US
New users will be offered training resources.,O
The new System version releases will be released at the beginning of the season.,MN
The sound of a shot hitting its target will be recreated by the product.,LF
Automatic alerts for high error rates will be enabled by the system.,FT
Continuous delivery is required to facilitate regular updates.,MN
"After a 2-day training course, 100% of the cardmember and merchant services representatives will use the Disputes application.",US
The application will provide high availability.,A
The interface will use a grid layout to organize elements.,LF
Cross-platform compatibility is essential for widespread adoption.,PO
NPAC SMS shall protect service provider data from access by unauthorized users.,SE
Users will be able to report issues within 6 seconds.,PE
"Every 20 seconds, the system will refresh the notifications.",PE
"The system needs to ensure that all interactive elements are accessible via keyboard shortcut, with 90 percent of power users reporting increased efficiency.",US
"When a player is injured, the product shall simulate the sound of a medical team responding.",LF
New data centers will be supported by the product to expand capacity and improve redundancy.,SC
"Product updates shall be delivered via a cloud-based platform, reducing the load on on-premise infrastructure.",MN
All organisations hosting components of the EHRi must control changes to information processing facilities and systems that support the EHRi by means of a formal and structured change control process to ensure the appropriate control of host applications and systems.,SE
"When a shot is missed, the product shall display a missed animation.",LF
The product shall allow a user to remove himself or herself from the list of players at any time.,FR
The system will notify affected parties when changes occur affecting clinicals including but not limited to clinical section capacity changes and clinical section cancellations.,FR
Continuous availability for critical functions is provided by the system.,A
The system will work on both Mac OS and Linux.,PO
The response should be fast enough to not interrupt the user's flow of thought.,PE
The website needs to be fully operational with MSN TV2.,O
The detail page will contain all the same features and information as the website.,FR
Processing of payment transactions shall have a maximum response time of 10 seconds.,PE
The product has to support operations in a serverless environment.,PO
"Comprehensive Privacy Impact Assessments need to address such issues as privacy risk management, record linkages, and security safeguards.",SE
Dependent databases/filesystems shall remain operational even if the product experiences a temporary failure.,FT
The application needs to be installed on both cloud and local environments.,PO
"The goal for healthcare organisations is to have PHI that is sufficiently accurate, complete and up-to-date to minimize the possibility that inappropriate PHI may be used to make a decision about a patient or person.",SE
The maximum response time for any interface between a user and the automated system is 5 seconds.,PE
Load times will be kept under 5 seconds for up to 90% of users during peak hours.,SC
The system will allow for manual intervention during complex failures.,FT
The system will allow you to return to the startup screen.,US
User session timeouts shall be reset within 1 second.,PE
Interface with external data sources shall be implemented using ODBC connections.,O
It needs to be able to change and update information on the server.,O
"85% of users find the voice interface responsive and reliable, and the application needs to support voice commands for key functions.",US
The system must not return a restricted web page to a non-authenticated user.,SE
The application must comply with the regulations.,L
Users will be able to modify their dashboardwidget.,O
"In this case, the user can approve the exchange that is offered by another user by clicking ""Approve"" button.",FR
The system must comply with the requirements for user privacy and confidentiality.,SE
The product will display each type of ship in a grid with an image of it.,LF
Automated patch management will be supported by the software.,FT
75% of users should create automated workflows within 15 minutes.,MN
Compliance with the Uniform Commercial Code must be maintained in all aspects of dispute resolution.,L
Disputes application must conform to the legal requirements set forth by the relevant state and local governments regarding consumer protection laws.,L
End-user feedback shall be collected and incorporated into software development to improve user experience and satisfaction.,MN
The product needs to be accessible 24/7.,A
The process needs to fit within the processing time conditions set by the Auto Rep Assignment process in which a lead is assigned within three minutes of the total life cycle.,PE
Enable a registered user to change his password if he forgets his password.,FR
When the student handbook-app is started the most searched items are shown on the title screen.,FR
The GUI will have a textbox that will accept inputs from a keyboard.,FR
TheEFTA requires the software to comply.,L
The system needs to be able to download 1 million copies at the same time.,SC
The product will improve task completion rates by 80%.,US
The maximum wait time for a user to navigate from one screen to another is no more than 5 seconds.,PE
Change management processes must be established to ensure that all changes are thoroughly tested and validated before being deployed to production.,MN
Users will be able to easily change their profile settings.,US
All data exchanged between the Disputes application and external systems must be securely authenticated and authorized.,L
The system must be easy to use by both managers and chefs such that they do not need to read an extensive amount of manuals.,US
All maintenance tasks need to be recorded in the software.,MN
The product will be able to send email.,O
The product shall prevent a player from viewing the offensive or defensive grids of the other player.,FR
Continuous availability for online transactions will be maintained by the product.,A
Maintenance tasks can be scheduled with the software.,MN
The product should support version control.,O
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall use a public key crypto system (PKCS) to provide digital signatures. Since there is no requirement for confidentiality service there is no need for any additional encryption algorithms.,SE
The product will be professional and conservative.,LF
Filling in mandatory fields Given the restaurant owner wants to fill in the mandatory fields of the form When the restaurant owner provides average price And address And e-mail address And phone number And restaurant name Then the restaurant owner has filled the mandatory fields of the form,FR
Users will be able to download software updates in under 15 seconds.,PE
"The Personnel Security Level entity stores information about the five attributes used to restrict access to the RLCS: Command Level, Device, Mode, Workstation, and System Functions.",SE
A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.,FR
User interface shall remain accessible to users with disabilities in the event of a failure.,FT
The system will use a text-based interface to display mail.,LF
"Stable performance during high-traffic periods will be ensured by the product, which can handle up to 3,000,000 transactions per day.",SC
The intranet pages should display appropriately in all resolutions from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.,LF
The product will need to be compatible with a database management system.,O
Product shall comply with the Environmental Protection Agency (EPA) regulations regarding hazardous waste disposal.,L
The system response time for all operations must be less than 6 seconds on a 56k connection.,PE
"100,000 simultaneous voice calls will be handled by the system.",SC
A minimum of 80% of users shall be able to access the product's website without any significant delays.,SC
Interface with the existing enterprise resource planning (ERP) system for data synchronization.,O
The product will make sure that all elements of the interface are designed for touch interaction.,LF
The application will provide continuous system availability.,A
The Disputes application must comply with the Gramm-Leach-Bliley Act (GLBA) and its associated regulations.,L
85% of users need to set up their alerts on their own.,MN
"If a question is not understood by our API, the system will send a text containing an example question after the text with the API response.",FR
The application needs to give administrators a real-time overview of system health and performance by giving them an intuitive dashboard.,O
Product shall be capable of handling peak traffic hours such as holidays and weekends.,SC
Users can easily access user guides.,US
All users should be able to go back to the product category page via the back button in the top corner.,FR
System shall continue to function with reduced functionality in case of a hardware failure.,FT
Product shall be able to handle a high volume of concurrent user requests without significant performance degradation.,FT
The product shall provide real-time statistics on the game.,LF
Product shall have a rollback feature in case of unintended changes made by users.,FT
Users will be able to return to the home page from any page.,US
"When a ship is rescued, the product shall simulate the sound of a rescue ship arriving at the scene.",LF
Product shall comply with the Federal Trade Commission (FTC) guidelines for unfair or deceptive business practices.,L
The product will be installed on the device without printed instructions.,US
The product can be used with customer relationship management systems.,O
Maximum response time for administrator PIN generation shall be under 1 minute.,PE
It is possible to search for a certain POI on the campus of the TU/e by name.,FR
Design Patterns and coding best practices are required for the product to be designed.,MN
The application will show a loading indicator for background processes that last longer than 3 seconds.,PE
Users will be able to save settings changes within 5 seconds.,PE
The system will support scaling in the future.,SC
The product is required to meet the requirements of the FOI Act.,L
The interface will support drag-and-drop.,LF
iii) accepted by the organisation.,SE
A minimum of 80% of all customer inquiries shall be responded to within 30 seconds.,SC
The software will meet the requirements of the board.,L
Adjusters and Collision Estimators shall be able to access detailed product documentation at any time.,US
"If the system could not find appropriate website associated with the question, the system will return a generic error message such as ""Sorry, I couldn't find an answer to that.""",FR
The product needs to have an event logging feature.,O
The interface shall have a clear and concise color scheme that is easy on the eyes.,LF
The system must indicate the author of a data change.,SE
Product shall maintain data integrity and consistency across all user sessions.,FT
The start page and views preferences can be changed.,US
"Organisations connecting to the EHRi must define user responsibilities, make users aware of them and have users agree to them as part of an acceptable use agreement.",SE
The website should cater to all of the tribes in Nigeria.,LF
The system can handle the requirements for future expansions.,SC
Organisations connecting to the EHRi or hosting components of the EHRi must have the implementation of their information security policy either: a) reviewed independently; or b) attested to in a written declaration by the organisation's chief executive officer or board of directors.,SE
The product needs to have access to customer support.,A
The majority of new users are able to log in within 10 minutes.,US
The software needs to be designed to help with diagnostics.,MN
"Product shall be able to process 1 billion transactions per year, with a 99.9% success rate.",SC
The product should be able to support different levels of logging.,PO
Support for Linux operating system is required for all environments.,O
The system has to recover from hardware problems.,FT
The product needs to support distributed computing environments.,PO
"An IPTV media flow shall be terminated by a STB or by a specific device called ""media gateway"" (or ""application gateway""). The CNG shall not terminate any IPTV flow by itself.",FR
Any interface between a user and the automated system shall have a maximum response time of 2 seconds.,PE
Product shall be designed to handle concurrent user access and minimize performance degradation.,FT
"Usage of the search feature DESC: The different search options should be evident, simple and easy to understand.",FR
"Up to 5,000 simultaneous video streams must be supported by the application.",SC
80% of mobile users should be able to navigate within 2 minutes.,MN
System shall maintain a record of all errors and exceptions for auditing and debugging purposes.,FT
The software will meet the requirements of the Federal Reserve Board.,L
"Within 5 seconds, the preferred repair facility ratings shall be saved.",PE
The software needs to comply with the directive.,L
"Such merging requires the greatest care and will therefore necessitate not only personnel trained in such merging, but may also require technical tools to better facilitate the integration of information from the original records into a unified whole.",SE
An automatic update feature will be included in the product.,O
Data consistency will be ensured by the application.,FT
"The product will be able to support 10,000 active sessions at once.",SC
The system shall provide an option to withdraw money.,FR
The software needs to provide detailed error messages.,MN
Continuous operation is a must during network partitioning.,FT
Product shall be able to function in low-bandwidth networks with a speed of 1 Mbps or less.,O
The system will be able to support 2 million users.,SC
"Support for multiple languages, including English, Spanish, French, and German, shall be provided.",O
The Disputes application shall ensure that only authorized users are allowed to logon to the application.,SE
The timing of payment to the merchant must be established between the merchant and the merchant acquirer,O
Website must be fully operational with MSN TV2.,O
The system will have a professional look.,LF
Cross-platform compatibility shall be ensured for all major browsers and devices.,PO
Support team shall be available for phone support on weekends and holidays.,A
Product shall be accessible from any location with a stable internet connection.,A
Product shall be compatible with most screen readers for visually impaired users.,O
Product shall be able to support up to 1000 different languages.,SC
Product updates and patches shall be delivered via a secure and reliable download process.,O
The application will not lose data during power fluctuations.,FT
Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,SE
A meeting scheduler system will inform the “potential meeting participant” of the meeting.,FR
The product needs to handle distributed denial-of-service gracefully.,FT
Maintenance releases will be offered to customers once a year. The releases shall take no longer than 5 minutes for 80% of the customer base to install.,MN
"Every 30 minutes, the product will give an update on system maintenance.",PE
The system has to use a sans-serif style.,LF
The system will use animation to transition between screens.,LF
Users will be able to view transaction details within 5 seconds.,PE
"During upgrade change or new resource addition, the product will be able to operate without interruption.",MN
The minimum availability for the website is 99.1%.,A
The system shall allow the mediator to negotiate a location / equipment.,FR
"The system will need to accommodate: computer interface access, defining access for a specific individual user or group of users the ability to assign different levels of access to different individuals and groups of users, either in a pre-defined role or in an ad hoc assignment",SE
The system will use 30-second keep-alive messages between tablets and the server to keep an eye on operational status.,O
"The product will include high-definition animations and transitions that give visual feedback on user actions, ensuring a responsive and interactive experience for users.",LF
Product updates shall be clearly communicated to users through email notifications.,US
"In the event of critical failures, the product will perform automatic rollback.",FT
Product shall automatically retry failed transactions after a specified period of time.,FT
NPAC SMS shall perform the entire user authentication procedure even if the userId that was entered was not valid.,SE
"NPAC SMS shall report conditions that would degrade service below a pre-specified minimum, including high memory, CPU, network traffic, and disk space utilization.",SE
At least 99.3% of the year will be operational availability.,A
Product shall be capable of supporting 5000 remote users within 3 years of its launch.,SC
The user profile page will take less than 4 seconds to load.,PE
The interface shall provide real-time statistics on shot accuracy and effectiveness.,LF
Refresh the display after a power outage within 10 minutes.,PE
"The product needs to display help icons and tooltips for all major features, with most users finding the information helpful and accessible.",US
NPAC SMS shall display the date and time of the user's last successful system access upon successful login.,SE
80% of users should be able to manage their permissions on their own.,MN
There will be a visual indicator for unread notifications.,LF
Users should be able to recover their passwords within 5 minutes.,MN
The system will operate on browsers that support the two technologies.,PO
The product will be easy to use.,US
Both graphical and command-line interface are required for the software to operate.,PO
A web-based application should be able to function seamlessly on a variety of devices.,PO
The product should be designed with maintainability in mind.,MN
The software needs to allow easy modification of rules.,MN
"Within 2 seconds, the application will notify users of successful submissions.",PE
"It is possible to ""tweet"" a certain event.",FR
Collaboration tools shall be integrated to enable seamless communication and feedback between users.,US
The NDE System can be accessed only with the authorization of the Government.,SE
The system will use animated icons.,LF
The system needs to make sure it complies with the Sarbanes-Oxley Act.,L
The product shall remove players who have been inactive for 24 hours from the list of players.,FR
seamless horizontal scaling is allowed by the product.,SC
The system will allow administrators to apply changes within a minute.,PE
The product has to comply with the regulations.,L
The system shall provide a P3P dedicated section in the tool.,SE
Native support for multi-monitor setups is required by the software.,PO
Product shall provide users with a notification mechanism to inform them of any potential security threats or vulnerabilities.,FT
"During maintenance, the application has to maintain service continuity.",A
The application will make sure that error states are clearly indicated.,LF
Multiple users must be allowed to access the product at the same time.,O
The system needs to have access to support and resources 24/7.,A
The interface must summarize the data in a fashion that's appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface,LF
All maintenance tasks will be recorded by the application.,MN
The product should have version control for all changes.,MN
The system needs to make sure there are no service interruptions.,A
The system will give updates to user rights.,PE
The product shall free of computer viruses.,SE
"If projected data is not understandable, at least 90% of viewers must be able to determine that Events or Activities are occurring in the current time from a viewing distance of 100.",US
"80% of users feel that their feedback is valued and acted upon, and the system shall include a feedback mechanism for users to report issues or suggest improvements.",US
Technical units will be able to receive defect reports on a 24x7 basis.,A
The system will allow you to change the style and size of the text.,LF
"If a user performs a quick or advanced search, the System must never include in the search result list any record which the user does not have the right to access.",SE
The system needs to be able to be adapted for use in automotive embedded systems.,PO
Application shall have a maximum downtime of 30 minutes per year.,A
All screens created as part of the Disputes application have to comply with corporate standards.,LF
The system should provide the ability to extract data for financial purposes only to authorized users.,SE
Portability to various desktop operating systems shall be ensured.,PO
"When performing background operations, the product will give visual feedback.",LF
"IT service desk shall be available 24 hours a day, 7 days a week, for technical support.",A
Recreation of failed transactions shall take no more than 45 minutes.,PE
The SECURED state may be used to enforce the relevant security policies of the security domain and applications.,SE
Portability of the application should be ensured on multiple mobile operating systems.,PO
Average number of customer complaints per day shall be 2000.,SC
Critical services must be mirrored in the application.,FT
The product will give users timely feedback.,US
The system will allow users to process large files in 15 seconds.,PE
"When a ship is being refueled, the product shall display a'refueling in progress' message on the interface.",LF
All users should be able to search by keyword or product ID.,FR
"c)have rules governing the acceptable use of these assets that are identified, documented, and put into practice.",SE
Disaster recovery plans must be supported by the software.,FT
"During peak usage times, the application must provide high availability.",SC
"The product will have an intuitive interface that users of all skill levels can navigate easily, with prominently displayed instructions and help options that facilitate a smooth user experience.",LF
The system needs to follow the standards of the International Financial Reporting Standards.,L
The product can be used to log user activities.,O
"The product must allow users to personalize their experience, with 90 percent of users satisfied with the options.",US
The maximum message processing time for the product is 2 seconds.,PE
System shall have a maximum downtime of 10 minutes per month.,A
Only the administrators shall be allowed to view or print reports.,SE
"When a user completes a task, a celebratory animation will be displayed.",LF
The software must meet the requirements of the Fsb.,L
"Security The connection between the Web API and the programs will use HTTPS, for security.",SE
The system should work well on platforms that support real-time data synchronization.,PO
Up to 2 million device connections will be managed by the system.,SC
The product must be able to run in 5G environments.,PO
Product shall be able to handle up to 3000,SC
The app will be presented and organized in a manner that is both visually appealing and easy for the user to navigate.,US
All updates to data files or database must be initiated from the Disputes System.,SE
"When a ship is docked, the product shall simulate the sound of a ship's horn.",LF
1) MVI (Master Veteran Index) will be the only system used by the DAS (Data Access Service) for any identity management function.,SE
The product shall display a countdown timer for the remaining game time.,LF
The terminal must secure transactions by retaining the card's symmetric MACing key signature as part of the transaction.,SE
The Health Information Technology for Economic and Clinical Health Act requires all healthcare data to be compliant.,L
Any changes to the product's security features must be thoroughly tested and validated by the security team before being implemented.,MN
NPAC SMS shall enforce password aging.,SE
The system will allow customers to register on the website in under 10 minutes.,PE
"The main menu contains a launcher to the Student handbook-app, only if the Dutch language is selected.3.1.8",FR
Changes can be made to the Manage My ID website.,MN
System shall automatically redirect users to a backup server in case of a primary server failure.,FT
The card verification method indicator (CVMI) in the CEP card must specify support of online PIN verification and at least one method of off-line PIN verification (encrypted or unencrypted),SE
"In the event of server failures, the product will provide fallback communication methods.",FT
